wavelength,counts
586.58948,20
587.01025,-20
587.43097,-10
587.85175,50
588.27246,20
588.69318,-10
589.11389,30
589.53461,0
589.95532,90
590.37604,50
590.79669,-10
591.21735,50
591.63806,0
592.05872,20
592.47937,60
592.89996,-10
593.32062,-50
593.74127,20
594.16187,20
594.58246,20
595.00305,60
595.42365,60
595.84424,40
596.26477,10
596.68536,20
597.1059,50
597.52643,40
597.94696,40
598.36749,20
598.78802,30
599.20856,-40
599.62903,-10
600.0495,40
600.47003,20
600.8905,10
601.31091,0
601.73138,10
602.15186,-30
602.57227,40
602.99268,30
603.41309,70
603.8335,-30
604.25391,50
604.67432,60
605.09467,-30
605.51508,10
605.93542,30
606.35577,-10
606.77612,0
607.19641,-20
607.61676,40
608.03705,20
608.4574,50
608.87769,20
609.29797,30
609.7182,10
610.13849,80
610.55872,10
610.979,60
611.39923,120
611.81946,50
612.23969,40
612.65985,70
613.08008,50
613.50024,-20
613.92041,30
614.34058,-80
614.76074,90
615.18091,30
615.60107,80
616.02118,40
616.44128,30
616.86139,0
617.28149,-30
617.7016,-10
618.12164,30
618.54175,50
618.96179,30
619.38184,50
619.80188,60
620.22192,10
620.64191,30
621.06189,30
621.48193,-20
621.90192,40
622.3219,10
622.74182,30
623.1618,60
623.58173,-10
624.00165,10
624.42157,20
624.84149,90
625.26141,60
625.68134,-10
626.1012,60
626.52106,0
626.94092,60
627.36078,30
627.78064,-10
628.20044,90
628.62024,30
629.04004,30
629.45984,30
629.87964,40
630.29944,-10
630.71918,50
631.13892,30
631.55872,60
631.97839,120
632.39813,40
632.81787,50
633.23755,50
633.65723,-50
634.0769,0
634.49658,20
634.91626,70
635.33588,60
635.75549,30
636.17517,50
636.59473,80
637.01434,50
637.43396,30
637.85352,0
638.27307,-30
638.69263,30
639.11218,50
639.53174,40
639.95123,40
640.37079,70
640.79028,40
641.20978,30
641.62921,70
642.04871,10
642.46814,-40
642.88757,-20
643.30701,80
643.72644,50
644.14587,0
644.56525,-50
644.98462,-10
645.40399,0
645.82336,30
646.24274,30
646.66205,50
647.08142,50
647.50073,30
647.92004,-10
648.33929,60
648.75861,60
649.17786,60
649.59711,40
650.01636,50
650.43561,20
650.8548,40
651.27405,30
651.69324,0
652.11243,80
652.53162,-10
652.95074,100
653.36987,-10
653.78906,-10
654.20819,-20
654.62726,70
655.04639,-10
655.46545,40
655.88458,110
656.30365,70
656.72266,130
657.14172,80
657.56073,120
657.97974,140
658.39874,130
658.81775,170
659.23676,110
659.6557,80
660.07465,120
660.49359,110
660.91254,120
661.33148,180
661.75037,110
662.16925,30
662.58813,10
663.00702,70
663.42584,60
663.84473,50
664.26355,-30
664.68237,30
665.10114,0
665.51996,30
665.93872,-30
666.35748,30
666.77625,50
667.19501,60
667.61371,60
668.03247,-10
668.45117,10
668.86987,90
669.28851,0
669.70721,70
670.12585,30
670.54449,80
670.96313,70
671.38171,100
671.80035,70
672.21893,90
672.63751,10
673.05603,-10
673.47461,-10
673.89313,20
674.31165,50
674.73016,50
675.14868,90
675.56714,80
675.9856,-20
676.40405,10
676.82251,80
677.24097,40
677.65936,30
678.07776,40
678.49615,40
678.91455,60
679.33289,100
679.75122,80
680.16956,-10
680.58789,60
681.00623,0
681.4245,40
681.84277,50
682.26105,50
682.67932,0
683.09753,40
683.51581,70
683.93402,60
684.35223,30
684.77039,30
685.18854,60
685.60675,30
686.0249,70
686.44299,-10
686.86115,70
687.27924,20
687.69733,0
688.11542,20
688.53345,70
688.95148,50
689.36957,60
689.78754,10
690.20557,20
690.62354,-40
691.04156,20
691.45953,60
691.87744,40
692.29541,20
692.71332,50
693.13123,0
693.54913,70
693.96698,50
694.38489,100
694.80273,120
695.22058,50
695.63837,60
696.05621,10
696.474,50
696.89178,-40
697.30951,30
697.72729,80
698.14502,110
698.56274,120
698.98047,130
699.39813,130
699.8158,200
700.23346,190
700.65112,100
701.06879,150
701.48639,110
701.90399,160
702.32159,130
702.73914,200
703.15674,130
703.57428,90
703.99182,80
704.4093,150
704.82684,190
705.24432,140
705.6618,150
706.07922,110
706.4967,180
706.91412,210
707.33154,140
707.74896,60
708.16632,210
708.58368,120
709.00104,100
709.4184,130
709.83569,200
710.25299,180
710.67029,170
711.08759,110
711.50482,180
711.92212,160
712.33936,150
712.75653,150
713.17377,190
713.59094,130
714.00812,220
714.42529,140
714.84241,200
715.25952,180
715.67664,160
716.09375,100
716.5108,190
716.92786,220
717.34491,180
717.76196,190
718.17902,230
718.59601,160
719.013,110
719.42993,180
719.84692,240
720.26385,180
720.68079,220
721.09766,230
721.51459,180
721.93146,130
722.34833,190
722.76514,220
723.18201,230
723.59882,210
724.01556,260
724.43237,280
724.84912,240
725.26587,180
725.68262,230
726.09937,290
726.51605,310
726.93274,250
727.34943,290
727.76605,200
728.18268,260
728.5993,340
729.01593,190
729.4325,340
729.84912,350
730.26563,270
730.68219,330
731.09869,260
731.51526,370
731.9317,340
732.34821,340
732.76465,340
733.18109,360
733.59753,370
734.01392,380
734.43036,400
734.84674,500
735.26306,430
735.67944,410
736.09576,450
736.51208,490
736.92834,510
737.34467,520
737.76093,550
738.17712,480
738.59338,520
739.00958,620
739.42578,580
739.84198,560
740.25812,620
740.67426,590
741.09039,600
741.50653,740
741.92261,630
742.33868,690
742.75476,770
743.17078,770
743.58685,750
744.00287,790
744.41882,750
744.83484,910
745.25079,910
745.66669,830
746.08264,1080
746.49854,1010
746.91443,1140
747.33032,1030
747.74615,1120
748.16199,1170
748.57782,1140
748.99365,1270
749.40942,1310
749.8252,1350
750.24097,1450
750.65668,1360
751.07239,1390
751.4881,1650
751.90381,1720
752.31946,1660
752.73511,1750
753.15076,1770
753.56635,1810
753.98199,2100
754.39752,1970
754.81311,2150
755.22864,2110
755.64417,2210
756.05969,2330
756.47516,2550
756.89069,2630
757.30609,2650
757.72156,2610
758.13696,2610
758.55237,3040
758.96777,2890
759.38312,3200
759.79846,3360
760.21381,3310
760.62915,3510
761.04443,3540
761.45972,3790
761.875,3810
762.29022,4030
762.70544,3970
763.12067,4270
763.53583,4440
763.95099,4430
764.36615,4680
764.78131,4980
765.19641,5140
765.61151,5280
766.02661,5330
766.44165,5540
766.85669,5840
767.27173,5770
767.68677,6170
768.10175,6490
768.51672,6680
768.93164,6880
769.34662,7140
769.76154,7360
770.17639,7270
770.59131,7690
771.00616,8030
771.42102,8190
771.83582,8850
772.25061,8870
772.66541,9120
773.0802,9370
773.49493,9860
773.90967,10410
774.3244,10370
774.73907,10380
775.15375,11230
775.56842,11560
775.98303,12160
776.39764,12350
776.81226,12610
777.22687,13160
777.64142,13980
778.05597,13650
778.47046,14520
778.88501,15040
779.2995,15910
779.71393,16060
780.12842,17060
780.54285,17390
780.95728,17920
781.37164,18060
781.78601,19420
782.20038,19330
782.61469,20150
783.02905,21000
783.4433,21620
783.8576,22370
784.27185,23170
784.6861,24000
785.10034,24530
785.51453,25370
785.92871,25530
786.3429,27070
786.75702,27730
787.17114,28490
787.58527,29310
787.99933,30280
788.41339,31180
788.82745,32250
789.24146,32300
789.65552,33740
790.06946,34040
790.48346,35450
790.8974,35870
791.31134,37730
791.72522,38080
792.13916,39520
792.55304,39880
792.96686,40460
793.38068,42150
793.79449,43100
794.20831,43390
794.62207,43680
795.03583,44720
795.44958,45570
795.86328,47280
796.27698,47630
796.69067,48590
797.10431,49420
797.51794,50270
797.93158,51630
798.34515,52400
798.75873,53370
799.1723,54400
799.58582,54340
799.99933,55360
800.41284,55600
800.82629,56410
801.23975,56920
801.6532,57460
802.06659,58370
802.47998,58720
802.89337,59080
803.30676,60090
803.72009,61600
804.13336,61450
804.54669,61830
804.95996,62430
805.37323,62130
805.78644,62810
806.19965,63490
806.61285,63270
807.026,63360
807.43915,64640
807.85229,65080
808.26538,64390
808.67853,65080
809.09155,64220
809.50464,64550
809.91766,64390
810.33063,64490
810.74365,64930
811.15662,64420
811.56958,63820
811.98248,63880
812.39539,64230
812.80829,63350
813.22113,63250
813.63397,63500
814.04681,62730
814.45959,62450
814.87238,61690
815.28516,60960
815.69788,61150
816.1106,60750
816.52332,60760
816.93597,60480
817.34863,59400
817.76123,59550
818.17389,58440
818.58643,57780
818.99902,56900
819.41156,56840
819.8241,55330
820.23663,54530
820.64911,54730
821.06158,54090
821.474,52530
821.88641,52850
822.29883,51720
822.71118,51040
823.12354,50240
823.53589,49810
823.94824,49580
824.36053,48580
824.77277,48370
825.18506,46880
825.59729,46500
826.00946,45590
826.42169,45360
826.8338,44500
827.24597,44190
827.65808,43580
828.07019,42130
828.4823,41670
828.89435,41260
829.3064,40880
829.71838,39550
830.13037,39670
830.54236,37790
830.95428,37750
831.36621,36770
831.77814,35860
832.19,35670
832.60187,35330
833.01373,34610
833.42554,34050
833.83734,33330
834.24908,33020
834.66089,31650
835.07257,31300
835.48431,30790
835.896,29870
836.30768,29530
836.7193,29360
837.13092,28700
837.54254,27530
837.9541,27150
838.36566,26920
838.77716,26280
