wavelength,counts
586.58948,20
587.01025,20
587.43097,-60
587.85175,70
588.27246,30
588.69318,60
589.11389,-30
589.53461,10
589.95532,10
590.37604,40
590.79669,20
591.21735,60
591.63806,20
592.05872,50
592.47937,40
592.89996,-30
593.32062,-80
593.74127,0
594.16187,20
594.58246,0
595.00305,80
595.42365,70
595.84424,30
596.26477,20
596.68536,20
597.1059,50
597.52643,40
597.94696,20
598.36749,10
598.78802,10
599.20856,-30
599.62903,0
600.0495,0
600.47003,40
600.8905,80
601.31091,20
601.73138,20
602.15186,-10
602.57227,40
602.99268,-10
603.41309,30
603.8335,30
604.25391,-40
604.67432,-20
605.09467,-20
605.51508,60
605.93542,-20
606.35577,10
606.77612,20
607.19641,20
607.61676,40
608.03705,-10
608.4574,50
608.87769,0
609.29797,20
609.7182,20
610.13849,60
610.55872,20
610.979,70
611.39923,40
611.81946,50
612.23969,40
612.65985,50
613.08008,30
613.50024,-50
613.92041,40
614.34058,-20
614.76074,30
615.18091,0
615.60107,10
616.02118,-20
616.44128,10
616.86139,10
617.28149,70
617.7016,-40
618.12164,10
618.54175,0
618.96179,0
619.38184,50
619.80188,20
620.22192,60
620.64191,50
621.06189,10
621.48193,0
621.90192,20
622.3219,10
622.74182,70
623.1618,20
623.58173,-40
624.00165,-10
624.42157,20
624.84149,30
625.26141,0
625.68134,-40
626.1012,70
626.52106,10
626.94092,10
627.36078,10
627.78064,-50
628.20044,90
628.62024,0
629.04004,0
629.45984,40
629.87964,10
630.29944,10
630.71918,20
631.13892,-20
631.55872,10
631.97839,70
632.39813,40
632.81787,30
633.23755,100
633.65723,-30
634.0769,-10
634.49658,-10
634.91626,50
635.33588,20
635.75549,20
636.17517,30
636.59473,-20
637.01434,30
637.43396,10
637.85352,10
638.27307,0
638.69263,-10
639.11218,80
639.53174,100
639.95123,50
640.37079,60
640.79028,30
641.20978,20
641.62921,90
642.04871,-20
642.46814,10
642.88757,-10
643.30701,30
643.72644,0
644.14587,20
644.56525,-30
644.98462,0
645.40399,-20
645.82336,50
646.24274,-20
646.66205,20
647.08142,20
647.50073,30
647.92004,10
648.33929,30
648.75861,30
649.17786,80
649.59711,60
650.01636,40
650.43561,-20
650.8548,20
651.27405,20
651.69324,-20
652.11243,50
652.53162,0
652.95074,10
653.36987,-10
653.78906,-20
654.20819,20
654.62726,70
655.04639,0
655.46545,30
655.88458,80
656.30365,0
656.72266,140
657.14172,60
657.56073,150
657.97974,130
658.39874,120
658.81775,150
659.23676,70
659.6557,100
660.07465,130
660.49359,120
660.91254,50
661.33148,110
661.75037,40
662.16925,40
662.58813,50
663.00702,60
663.42584,10
663.84473,60
664.26355,-60
664.68237,30
665.10114,70
665.51996,40
665.93872,20
666.35748,40
666.77625,0
667.19501,60
667.61371,40
668.03247,-10
668.45117,20
668.86987,50
669.28851,10
669.70721,40
670.12585,-30
670.54449,30
670.96313,40
671.38171,90
671.80035,70
672.21893,70
672.63751,-20
673.05603,-20
673.47461,-20
673.89313,50
674.31165,30
674.73016,40
675.14868,70
675.56714,50
675.9856,0
676.40405,20
676.82251,50
677.24097,10
677.65936,0
678.07776,0
678.49615,0
678.91455,30
679.33289,50
679.75122,80
680.16956,50
680.58789,60
681.00623,0
681.4245,40
681.84277,0
682.26105,0
682.67932,-30
683.09753,0
683.51581,90
683.93402,10
684.35223,10
684.77039,20
685.18854,100
685.60675,60
686.0249,30
686.44299,10
686.86115,50
687.27924,20
687.69733,50
688.11542,60
688.53345,30
688.95148,30
689.36957,30
689.78754,20
690.20557,20
690.62354,0
691.04156,30
691.45953,20
691.87744,40
692.29541,-20
692.71332,60
693.13123,30
693.54913,70
693.96698,0
694.38489,60
694.80273,60
695.22058,30
695.63837,30
696.05621,30
696.474,70
696.89178,0
697.30951,60
697.72729,100
698.14502,80
698.56274,120
698.98047,100
699.39813,110
699.8158,130
700.23346,150
700.65112,90
701.06879,50
701.48639,160
701.90399,120
702.32159,170
702.73914,140
703.15674,110
703.57428,100
703.99182,80
704.4093,70
704.82684,150
705.24432,110
705.6618,120
706.07922,100
706.4967,140
706.91412,80
707.33154,70
707.74896,20
708.16632,130
708.58368,60
709.00104,110
709.4184,70
709.83569,140
710.25299,120
710.67029,70
711.08759,20
711.50482,100
711.92212,140
712.33936,100
712.75653,100
713.17377,140
713.59094,80
714.00812,170
714.42529,120
714.84241,160
715.25952,80
715.67664,120
716.09375,120
716.5108,90
716.92786,80
717.34491,70
717.76196,60
718.17902,60
718.59601,110
719.013,70
719.42993,80
719.84692,90
720.26385,140
720.68079,50
721.09766,80
721.51459,30
721.93146,170
722.34833,140
722.76514,130
723.18201,160
723.59882,140
724.01556,160
724.43237,70
724.84912,130
725.26587,40
725.68262,100
726.09937,110
726.51605,60
726.93274,120
727.34943,130
727.76605,70
728.18268,80
728.5993,130
729.01593,70
729.4325,130
729.84912,90
730.26563,100
730.68219,140
731.09869,70
731.51526,130
731.9317,120
732.34821,170
732.76465,150
733.18109,150
733.59753,170
734.01392,140
734.43036,170
734.84674,220
735.26306,120
735.67944,150
736.09576,90
736.51208,230
736.92834,150
737.34467,200
737.76093,230
738.17712,210
738.59338,240
739.00958,220
739.42578,180
739.84198,200
740.25812,200
740.67426,290
741.09039,230
741.50653,220
741.92261,190
742.33868,270
742.75476,330
743.17078,270
743.58685,240
744.00287,230
744.41882,270
744.83484,290
745.25079,340
745.66669,360
746.08264,370
746.49854,300
746.91443,310
747.33032,360
747.74615,290
748.16199,330
748.57782,370
748.99365,360
749.40942,360
749.8252,420
750.24097,450
750.65668,560
751.07239,360
751.4881,530
751.90381,550
752.31946,500
752.73511,520
753.15076,520
753.56635,570
753.98199,560
754.39752,630
754.81311,590
755.22864,680
755.64417,680
756.05969,780
756.47516,750
756.89069,710
757.30609,720
757.72156,780
758.13696,820
758.55237,950
758.96777,990
759.38312,910
759.79846,990
760.21381,1080
760.62915,1090
761.04443,1060
761.45972,1090
761.875,1090
762.29022,1220
762.70544,1250
763.12067,1430
763.53583,1290
763.95099,1470
764.36615,1600
764.78131,1570
765.19641,1760
765.61151,1790
766.02661,1670
766.44165,1770
766.85669,1970
767.27173,1920
767.68677,1900
768.10175,1970
768.51672,2130
768.93164,2360
769.34662,2450
769.76154,2240
770.17639,2460
770.59131,2600
771.00616,2600
771.42102,2610
771.83582,2900
772.25061,2780
772.66541,2860
773.0802,3200
773.49493,3220
773.90967,3440
774.3244,3470
774.73907,3480
775.15375,3780
775.56842,4040
775.98303,3930
776.39764,4430
776.81226,4420
777.22687,4450
777.64142,4690
778.05597,4920
778.47046,5100
778.88501,5370
779.2995,5400
779.71393,5760
780.12842,5870
780.54285,6290
780.95728,6230
781.37164,6740
781.78601,7020
782.20038,7320
782.61469,7530
783.02905,7870
783.4433,8090
783.8576,8430
784.27185,8630
784.6861,8640
785.10034,9270
785.51453,9570
785.92871,9790
786.3429,10080
786.75702,10560
787.17114,11030
787.58527,11280
787.99933,11610
788.41339,12000
788.82745,12480
789.24146,13030
789.65552,13480
790.06946,13980
790.48346,14050
790.8974,14610
791.31134,15000
791.72522,15910
792.13916,15970
792.55304,16650
792.96686,17190
793.38068,17820
793.79449,17790
794.20831,18620
794.62207,19440
795.03583,19790
795.44958,20160
795.86328,20660
796.27698,21890
796.69067,21500
797.10431,22740
797.51794,23390
797.93158,23600
798.34515,23890
798.75873,24940
799.1723,25800
799.58582,26030
799.99933,26280
800.41284,27590
800.82629,27480
801.23975,28060
801.6532,28720
802.06659,29360
802.47998,30260
802.89337,30420
803.30676,30800
803.72009,32020
804.13336,32250
804.54669,32990
804.95996,33000
805.37323,33690
805.78644,33960
806.19965,34910
806.61285,35410
807.026,35760
807.43915,35650
807.85229,36510
808.26538,36500
808.67853,37270
809.09155,37050
809.50464,38080
809.91766,38000
810.33063,38050
810.74365,38680
811.15662,38240
811.56958,38450
811.98248,39120
812.39539,39030
812.80829,38970
813.22113,39540
813.63397,39280
814.04681,39050
814.45959,39380
814.87238,38910
815.28516,39560
815.69788,38810
816.1106,38360
816.52332,38230
816.93597,38620
817.34863,38440
817.76123,37810
818.17389,37220
818.58643,37550
818.99902,37330
819.41156,36970
819.8241,36340
820.23663,36060
820.64911,35730
821.06158,35790
821.474,35340
821.88641,34790
822.29883,33740
822.71118,33650
823.12354,33350
823.53589,33200
823.94824,32310
824.36053,31750
824.77277,31680
825.18506,31400
825.59729,31220
826.00946,30490
826.42169,30550
826.8338,30270
827.24597,29720
827.65808,28860
828.07019,28560
828.4823,28080
828.89435,27630
829.3064,27590
829.71838,26870
830.13037,27300
830.54236,26730
830.95428,25800
831.36621,25650
831.77814,25340
832.19,24690
832.60187,24470
833.01373,23810
833.42554,23240
833.83734,23130
834.24908,22590
834.66089,21950
835.07257,21350
835.48431,21630
835.896,20850
836.30768,20860
836.7193,20080
837.13092,19420
837.54254,19260
837.9541,18670
838.36566,18270
838.77716,18240
839.18866,17720
839.60016,17290
840.01166,16790
840.4231,16390
