wavelength,counts
772.25061,5390
772.66541,5650
773.0802,5920
773.49493,6240
773.90967,6430
774.3244,6530
774.73907,6810
775.15375,6850
775.56842,7220
775.98303,7440
776.39764,7780
776.81226,7970
777.22687,8410
777.64142,8380
778.05597,8900
778.47046,9350
778.88501,9900
779.2995,10110
779.71393,10250
780.12842,10570
780.54285,11090
780.95728,11600
781.37164,11750
781.78601,12070
782.20038,12700
782.61469,13300
783.02905,13450
783.4433,14150
783.8576,14620
784.27185,14970
784.6861,15080
785.10034,16240
785.51453,16530
785.92871,17090
786.3429,17480
786.75702,18450
787.17114,18890
787.58527,19570
787.99933,20750
788.41339,20630
788.82745,21880
789.24146,22160
789.65552,22820
790.06946,23590
790.48346,24490
790.8974,24590
791.31134,25150
791.72522,26350
792.13916,27500
792.55304,27970
792.96686,28090
793.38068,29290
793.79449,29300
794.20831,30180
794.62207,31010
795.03583,32750
795.44958,32780
795.86328,33730
796.27698,34440
796.69067,35740
797.10431,36690
797.51794,37010
797.93158,37570
798.34515,38320
798.75873,39510
799.1723,40620
799.58582,40720
799.99933,41440
800.41284,42480
800.82629,43880
801.23975,44270
801.6532,44560
802.06659,46090
802.47998,45760
802.89337,46790
803.30676,47040
803.72009,49470
804.13336,48650
804.54669,50020
804.95996,49950
805.37323,50810
805.78644,50660
806.19965,51690
806.61285,52450
807.026,52910
807.43915,53130
807.85229,53850
808.26538,54380
808.67853,54620
809.09155,54970
809.50464,55120
809.91766,55420
810.33063,55270
810.74365,55420
811.15662,55630
811.56958,55770
811.98248,56050
812.39539,55550
812.80829,55750
813.22113,55720
813.63397,56130
814.04681,55350
814.45959,54760
814.87238,54890
815.28516,55180
815.69788,54700
816.1106,53890
816.52332,53500
816.93597,53680
817.34863,53680
817.76123,52820
818.17389,52000
818.58643,52230
818.99902,51380
819.41156,51330
819.8241,50900
820.23663,50330
820.64911,48970
821.06158,49380
821.474,48840
821.88641,48630
822.29883,47490
822.71118,46840
823.12354,46800
823.53589,45360
823.94824,45200
824.36053,44250
824.77277,44370
825.18506,44130
825.59729,42860
826.00946,42610
826.42169,41550
826.8338,40640
827.24597,40450
827.65808,39900
828.07019,39150
828.4823,38830
828.89435,37850
829.3064,37700
829.71838,36510
830.13037,36310
830.54236,35900
830.95428,34260
831.36621,34490
831.77814,34340
832.19,33770
832.60187,33130
833.01373,32320
833.42554,31560
833.83734,31090
834.24908,30700
834.66089,30280
835.07257,29770
835.48431,29480
835.896,28320
836.30768,28490
836.7193,27080
837.13092,26960
837.54254,26050
837.9541,25480
838.36566,25340
838.77716,24400
839.18866,24300
839.60016,23310
840.01166,23210
840.4231,22600
840.83453,22000
841.24591,21710
841.65729,21260
842.06866,20490
842.47998,20500
842.8913,19510
843.30255,19470
843.71381,18900
844.12506,18950
844.53632,18100
844.94751,17370
845.35864,16860
845.76984,16460
846.18097,16010
846.59204,15640
847.00311,15350
847.41418,15040
847.82526,14790
848.23627,13780
848.64722,14120
849.05823,13130
849.46918,13260
849.88007,12970
850.29102,12440
850.70184,12000
851.11273,11830
851.52356,11390
851.93439,10960
852.34515,10730
852.75592,10430
853.16669,9970
853.57739,10250
853.9881,9710
854.39874,9470
854.80939,9040
855.22003,8780
855.63062,8500
856.0412,8010
856.45178,8220
856.8623,7660
857.27283,7700
857.68329,7110
858.09375,7250
858.50421,6850
858.91461,6700
859.32501,6520
859.73541,6420
860.14575,6010
860.55609,6040
860.96637,5590
861.37665,5610
861.78693,5260
862.19714,5360
862.60736,5270
863.01752,4880
863.42767,4870
863.83783,4740
864.24792,4640
864.65802,4110
865.06812,4240
865.47815,3920
865.88818,3910
866.29816,3870
866.70813,3710
867.1181,3530
867.52802,3440
867.93793,3390
868.34778,3350
868.75763,3020
869.16748,3160
869.57727,3040
869.98706,3010
870.39679,2740
870.80652,2640
871.21625,2770
871.62592,2490
872.03558,2470
872.44525,2480
872.85486,2370
873.26447,2280
873.67401,2250
874.08356,2160
874.49304,1990
874.90259,2150
875.31201,2100
875.7215,2030
876.13092,2000
876.54028,1870
876.94965,1920
877.35901,1770
877.76831,1560
878.17761,1640
878.58691,1550
878.99615,1590
879.4054,1500
879.81458,1370
880.22375,1500
880.63293,1400
881.04205,1330
881.45111,1290
881.86023,1160
882.26929,1320
882.67828,1090
883.08728,1220
883.49628,1040
883.90521,1110
884.31415,1050
884.72308,980
885.13196,1050
885.54083,1010
885.94965,1000
886.35846,1010
886.76721,930
887.17596,870
887.58472,820
887.99341,840
888.4021,900
888.81079,830
889.21942,820
889.62799,710
890.03662,730
890.44513,870
890.8537,800
891.26221,730
891.67065,730
892.0791,730
892.48755,730
892.896,670
893.30432,730
893.71271,520
894.12103,680
894.52936,570
894.93762,570
895.34589,530
895.75409,580
896.16229,500
896.5705,590
896.97864,590
897.38678,500
897.79486,650
898.20294,550
898.61102,500
899.01904,450
899.427,510
899.83502,530
900.24298,410
900.65088,350
901.05878,350
901.46667,400
901.87451,390
902.28235,360
902.69012,370
903.0979,350
903.50562,420
903.91333,290
904.32104,310
904.7287,420
905.13635,400
905.54395,370
905.95154,410
906.35913,340
906.76666,400
907.17413,330
907.58167,310
907.98914,210
908.39655,340
908.80396,240
909.2113,280
909.61871,270
910.026,260
910.43329,270
910.84058,290
911.24786,250
911.65509,260
912.06226,220
912.46942,280
912.87659,250
913.28369,290
913.6908,260
914.09784,250
914.50488,280
914.91193,290
915.31891,260
915.72583,240
916.13281,310
916.53967,180
916.94659,210
917.35345,180
917.76025,230
918.16705,160
918.57385,200
918.98059,230
919.38733,270
919.79401,210
920.20068,240
920.6073,160
921.01392,190
921.42053,190
921.82709,210
922.23358,150
922.64014,180
923.04657,230
923.45306,210
923.8595,200
924.26587,200
924.67224,250
925.07861,190
925.48492,200
925.89124,180
926.29749,210
926.70374,140
927.10992,60
927.51611,170
927.92224,120
928.32837,220
928.7345,230
929.14056,240
929.54663,110
929.95264,170
930.35864,140
930.76459,220
931.17053,210
931.57642,260
931.9823,180
932.38818,170
932.79401,150
933.19983,200
933.60559,160
934.01135,180
934.41705,210
934.82275,200
935.22839,80
935.63403,210
936.03967,150
936.44525,130
936.85077,130
937.25629,190
937.6618,130
938.06726,120
938.47272,190
938.87811,140
939.28351,150
939.6889,150
940.09424,110
940.49951,80
940.90479,110
941.31006,140
941.71527,210
942.12048,210
942.52563,140
942.93073,130
943.33588,90
943.74097,170
944.146,170
944.55103,170
944.95599,70
945.36096,150
945.76593,150
946.17084,220
946.57574,150
946.98059,160
947.38538,110
947.79022,80
948.19495,160
948.59973,110
949.00439,140
949.40912,150
949.81378,100
950.21838,150
950.62299,100
951.02759,50
951.43213,130
951.83661,70
952.24109,110
952.64557,70
953.04999,90
953.45441,200
953.85876,110
954.26312,140
954.66742,100
955.07172,120
955.47595,120
955.88019,130
956.28442,140
956.6886,160
957.09271,210
957.49683,150
957.90094,70
958.30499,170
958.70898,150
959.11298,130
959.51697,80
959.9209,160
960.32483,40
960.7287,130
961.13257,150
961.53638,120
961.94019,120
962.34393,40
962.74768,50
963.15137,150
963.55505,120
963.95874,100
964.3623,60
964.76593,130
965.16949,100
965.573,100
965.9765,150
966.38,50
966.78345,130
967.18683,140
967.59021,150
967.99359,110
968.39691,130
968.80023,100
969.20349,120
969.60675,130
970.00995,150
970.41315,30
970.81628,40
971.21936,100
971.6225,100
972.02551,50
972.42859,140
972.8316,80
973.23456,90
973.63751,140
974.04041,70
974.4433,100
974.84613,60
975.24896,110
975.65173,140
976.0545,60
976.45728,120
976.85999,80
977.26263,110
977.66528,150
978.06787,30
978.47046,60
978.87305,110
979.27557,110
979.67804,70
980.08051,90
980.48297,110
980.88538,120
981.28772,150
981.69006,110
982.09241,120
982.49469,190
982.89691,130
983.29913,170
983.70135,110
984.10352,90
984.50562,50
984.90771,100
985.30981,90
985.71185,50
986.11383,80
986.51581,100
986.91779,100
987.3197,120
987.72156,110
988.12347,40
988.52527,90
988.92706,90
989.32886,90
989.73059,50
990.13226,90
990.53394,0
990.93561,30
991.33722,130
991.73877,110
992.14032,130
992.54187,40
992.94336,50
993.34479,110
993.74622,50
994.14764,30
994.54901,30
994.95032,140
995.35162,150
995.75293,50
996.15417,100
996.55536,70
996.95654,140
997.35767,90
997.75879,120
998.15991,160
998.56097,60
998.96198,130
999.36298,90
999.76392,100
1000.1649,60
1000.5657,100
1000.9666,80
1001.3675,100
1001.7682,150
1002.1691,140
1002.5698,60
1002.9705,100
1003.3712,130
1003.7719,120
1004.1724,40
1004.5731,90
1004.9736,150
1005.3741,80
1005.7746,130
1006.175,120
1006.5755,40
1006.9759,90
1007.3762,130
1007.7766,40
1008.1769,120
1008.5771,110
